"participant","PE_level","recogResp","recogRT","conf","sceneResp","cornerResp","cases","scenes","old_new","corrlocation","corrAns","corrAns_scene","corrAns_corner","rt_out"
15,"new",4,1.368000031,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.368000031
17,"medium",4,2.525000095,3,3,2,"old","Icy3.jpeg","Qu1_oldleftt.png","1",0,1,0,2.525000095
17,"new",1,5.537000179,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,5.537000179
17,"high",4,4.572000027,3,4,4,"old","Beach2.jpeg","Qu1_oldleftt.png","3",0,0,0,4.572000027
17,"high",4,1.861000061,1,2,2,"old","Savanna1.jpeg","Qu1_oldleftt.png","3",0,0,0,1.861000061
17,"new",1,4.382000208,1,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,4.382000208
17,"new",1,3.440000296,1,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,3.440000296
17,"low",4,4.664000034,1,1,2,"old","Desert3.jpeg","Qu1_oldleftt.png","3",0,0,0,4.664000034
17,"medium",4,4.961000204,1,4,1,"old","Icy4.jpeg","Qu1_oldleftt.png","1",0,1,1,4.961000204
17,"medium",1,4.413000107,1,2,3,"old","Desert3.jpeg","Qu1_oldleftt.png","4",1,0,0,4.413000107
17,"new",4,2.242000103,1,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.242000103
17,"low",4,5.548000336,4,3,2,"old","Desert4.jpeg","Qu1_oldleftt.png","1",0,0,0,5.548000336
17,"new",4,3.44900012,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,3.44900012
17,"low",1,3.428000212,3,2,4,"old","Savanna4.jpeg","Qu1_oldleftt.png","4",1,0,1,3.428000212
17,"medium",4,1.795000315,2,2,3,"old","Icy2.jpeg","Qu1_oldleftt.png","3",0,1,1,1.795000315
17,"new",4,2.19900012,4,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.19900012
17,"low",4,4.569000244,1,2,3,"old","Icy1.jpeg","Qu1_oldleftt.png","4",0,0,0,4.569000244
17,"medium",4,2.880000114,1,3,2,"old","Savanna4.jpeg","Qu1_oldleftt.png","2",0,0,1,2.880000114
17,"new",4,2.779999971,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.779999971
17,"new",4,3.111000299,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,3.111000299
17,"medium",4,5.220000267,1,4,1,"old","Beach1.jpeg","Qu1_oldleftt.png","2",0,0,0,5.220000267
17,"high",4,1.357000113,1,3,2,"old","Savanna2.jpeg","Qu1_oldleftt.png","2",0,0,1,1.357000113
17,"high",4,1.726000071,4,1,2,"old","Savanna3.jpeg","Qu1_oldleftt.png","2",0,0,1,1.726000071
17,"new",1,3.967000008,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,3.967000008
17,"medium",4,3.35400033,1,2,4,"old","Savanna3.jpeg","Qu1_oldleftt.png","3",0,0,0,3.35400033
17,"new",4,4.658000231,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,4.658000231
17,"new",1,2.450000286,1,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,2.450000286
17,"new",4,1.541000128,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.541000128
17,"new",1,2.331000328,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,2.331000328
17,"new",4,2.745000362,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.745000362
17,"new",4,1.988000154,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.988000154
17,"new",4,1.659000158,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.659000158
17,"medium",4,1.197000265,3,2,1,"old","Beach1.jpeg","Qu1_oldleftt.png","4",0,0,0,1.197000265
17,"high",4,1.100000143,3,2,2,"old","Desert3.jpeg","Qu1_oldleftt.png","4",0,0,0,1.100000143
17,"medium",4,2.249000072,3,1,1,"old","Beach2.jpeg","Qu1_oldleftt.png","2",0,0,0,2.249000072
17,"new",4,2.86400032,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.86400032
17,"new",4,1.125000238,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.125000238
17,"low",4,1.82400012,3,1,2,"old","Beach4.jpeg","Qu1_oldleftt.png","2",0,0,1,1.82400012
17,"high",4,1.123000145,2,4,1,"old","Beach4.jpeg","Qu1_oldleftt.png","1",0,1,1,1.123000145
17,"new",1,2.551000118,1,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,2.551000118
17,"high",1,1.950000048,3,2,2,"old","Beach4.jpeg","Qu1_oldleftt.png","2",1,0,1,1.950000048
17,"low",4,2.082,3,2,3,"old","Icy1.jpeg","Qu1_oldleftt.png","3",0,0,1,2.082
17,"high",4,3.048,3,1,4,"old","Savanna4.jpeg","Qu1_oldleftt.png","1",0,0,0,3.048
17,"medium",4,2.983,4,4,1,"old","Savanna4.jpeg","Qu1_oldleftt.png","2",0,1,0,2.983
17,"medium",1,2.851,1,2,4,"old","Savanna4.jpeg","Qu1_oldleftt.png","3",1,0,0,2.851
17,"low",1,2.643,3,4,2,"old","Icy4.jpeg","Qu1_oldleftt.png","2",1,1,1,2.643
17,"low",1,1.862,1,2,4,"old","Beach1.jpeg","Qu1_oldleftt.png","4",1,0,1,1.862
17,"high",4,2.366,3,2,2,"old","Desert2.jpeg","Qu1_oldleftt.png","4",0,1,0,2.366
17,"new",1,1.992,1,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",0,0,0,1.992
17,"new",4,1.673,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.673
17,"new",4,1.707,3,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,1.707
17,"new",4,2.24,2,NA,NA,"new","filler.png","Qu1_oldleft.png","filler",1,0,0,2.24
17,"low",4,1.56,3,2,4,"old","Savanna4.jpeg","Qu1_oldleftt.png","1",0,0,0,1.56
