"participant","pictures","pe","corrAns","corrAnsRT","conf","confRT","soundcorrAns","on","soundcorrAnsRT","category","trial","block","rt_out"
3254,"animal_77.png","new",1,0.36084,1,0.30465,0,"new",NA,"animal",23,1,0.36084
3254,"animal_33.png","medPE",1,0.330055,2,0.635605,1,"old",0.510355,"animal",24,1,0.330055
3254,"toy_27.png","lowPE",1,0.37391,3,0.53888,0,"old",0.693145,"toy",25,1,0.37391
3254,"fruit_76.png","new",1,1.093425,1,0.40311,0,"new",NA,"fruit",26,1,1.093425
3254,"house_32.png","lowPE",1,0.944615,1,0.376155,0,"old",0.606175,"house",27,1,0.944615
3254,"toy_31.png","medPE",0,0.991385,4,0.882485,0,"old",0.37397,"toy",28,1,0.991385
3254,"toy_28.png","lowPE",1,1.60138,4,0.88468,1,"old",4.76997,"toy",29,1,1.60138
3254,"toy_30.png","highPE",1,1.616185,1,0.433275,0,"old",1.99444,"toy",30,1,1.616185
3254,"animal_30.png","lowPE",1,0.693965,1,0.70405,0,"old",0.652685,"animal",31,1,0.693965
3254,"fruit_79.png","new",1,0.675575,2,0.90075,0,"new",NA,"fruit",32,1,0.675575
3254,"animal_25.png","highPE",0,0.54887,3,0.751425,0,"old",0.80746,"animal",34,1,0.54887
3254,"toy_33.png","medPE",1,3.708485,2,0.882795,0,"old",2.63779,"toy",35,1,3.708485
3254,"house_77.png","new",1,0.358475,1,1.48731,0,"new",NA,"house",36,1,0.358475
3254,"fruit_33.png","lowPE",1,0.57667,3,0.92131,0,"old",1.37303,"fruit",37,1,0.57667
3254,"house_26.png","medPE",0,0.57587,2,0.587345,1,"old",1.28604,"house",38,1,0.57587
3254,"animal_31.png","highPE",1,1.30855,1,0.483755,0,"old",0.955945,"animal",39,1,1.30855
3254,"toy_25.png","lowPE",1,0.42609,1,0.35113,1,"old",3.01433,"toy",40,1,0.42609
3254,"house_76.png","new",1,4.75866,1,0.588365,0,"new",NA,"house",41,1,4.75866
3254,"house_28.png","highPE",0,1.662475,4,0.573315,0,"old",0.68086,"house",42,1,1.662475
3254,"fruit_26.png","medPE",0,1.293885,4,0.92148,1,"old",0.794175,"fruit",43,1,1.293885
3254,"house_29.png","lowPE",1,5.358395,2,1.020765,1,"old",0.584895,"house",44,1,5.358395
3254,"animal_78.png","new",1,2.545225,2,1.025385,0,"new",NA,"animal",45,1,2.545225
3254,"toy_76.png","new",1,0.74943,2,0.58753,0,"new",NA,"toy",46,1,0.74943
3254,"toy_29.png","lowPE",1,0.545125,3,0.452735,1,"old",2.674535,"toy",47,1,0.545125
3254,"fruit_78.png","new",0,0.67435,3,1.00426,0,"new",NA,"fruit",48,1,0.67435
3254,"house_79.png","new",1,1.544915,1,1.870105,0,"new",NA,"house",49,1,1.544915
3254,"fruit_29.png","highPE",0,0.80801,3,0.705025,0,"old",2.85118,"fruit",50,1,0.80801
3254,"house_25.png","medPE",1,0.34782,1,0.47022,1,"old",0.46727,"house",51,1,0.34782
3254,"toy_26.png","lowPE",1,1.34728,1,0.46737,1,"old",4.13625,"toy",52,1,1.34728
3254,"fruit_32.png","lowPE",0,0.27891,1,0.25765,1,"old",0.367125,"fruit",53,1,0.27891
